iter	Logloss
0	0.6918159511
1	0.6897753439
2	0.6882884692
3	0.6861224715
4	0.6841615409
5	0.6819382102
6	0.6801884786
7	0.6788249697
8	0.6768880823
9	0.6748589288
10	0.6725826888
11	0.6705969285
12	0.669473706
13	0.6674675126
14	0.666148315
15	0.6644648281
16	0.6627829181
17	0.6617927417
18	0.6596209148
19	0.6585457117
20	0.6562663042
21	0.6546052365
22	0.6528729822
23	0.6513079664
24	0.6497307303
25	0.6487347906
26	0.6477443979
27	0.6460232385
28	0.6442746554
29	0.6426815816
30	0.6411318034
31	0.6403583809
32	0.6388462723
33	0.6371842249
34	0.6363240356
35	0.6345413987
36	0.6326635607
37	0.6310045316
38	0.6294417135
39	0.6278971793
40	0.6270891643
41	0.6261494194
42	0.6240535931
43	0.6221613496
44	0.6200542162
45	0.6182241682
46	0.6168953999
47	0.6160404037
48	0.6141085818
49	0.6132069255
50	0.612173838
51	0.6112553475
52	0.6096931129
53	0.6080317453
54	0.6065907674
55	0.6052157312
56	0.6037455626
57	0.6031165128
58	0.6013022344
59	0.5998625506
60	0.5985835839
61	0.5968983916
62	0.5961302216
63	0.5946356752
64	0.593120744
65	0.5917454606
66	0.5902336523
67	0.5886287367
68	0.5874352773
69	0.5866775698
70	0.5852291076
71	0.5841778927
72	0.5825459361
73	0.580693348
74	0.5794010651
75	0.5775075164
76	0.5767236801
77	0.5759459001
78	0.5746524969
79	0.5736973447
80	0.5723997604
81	0.5708834236
82	0.5694866
83	0.5682312802
84	0.5674932106
85	0.5661890287
86	0.5647508233
87	0.5635982483
88	0.5624756642
89	0.5610348084
90	0.5597888769
91	0.5585821589
92	0.5575412355
93	0.556686224
94	0.5549732798
95	0.5539662789
96	0.5526259776
97	0.5513008623
98	0.5503334789
99	0.5495877862
100	0.5486397963
101	0.5474623022
102	0.5461584247
103	0.5447653898
104	0.5435735319
105	0.5429296396
106	0.5417772463
107	0.5402359239
108	0.5392390587
109	0.5381009745
110	0.5367506586
111	0.535314663
112	0.5340265172
113	0.5327585848
114	0.5316654004
115	0.5310546072
116	0.5303688939
117	0.5293099528
118	0.5286671676
119	0.5275104505
120	0.5264033812
121	0.524858934
122	0.5239241309
123	0.522778771
124	0.5217061473
125	0.5213014278
126	0.5200815631
127	0.5192044143
128	0.5186750351
129	0.5176733058
130	0.5169912968
131	0.5158199893
132	0.5149943154
133	0.5140249983
134	0.5132843715
135	0.5122858589
136	0.5112494142
137	0.5100772615
138	0.5089529557
139	0.5078644655
140	0.506817677
141	0.5058585093
142	0.5048210562
143	0.5037782906
144	0.5029772501
145	0.5017270759
146	0.5009395275
147	0.4998107093
148	0.4985989664
149	0.4976598611
150	0.4972189626
151	0.4960401215
152	0.4953880291
153	0.4943409728
154	0.4940344447
155	0.4934674032
156	0.4925660481
157	0.4917912298
158	0.491070082
159	0.4903682373
160	0.4892852883
161	0.4881716595
162	0.4875000354
163	0.4868441507
164	0.485998011
165	0.4853600791
166	0.4846150015
167	0.4836960406
168	0.4828968957
169	0.4821921939
170	0.4814121049
171	0.4801412928
172	0.4789933826
173	0.4781877359
174	0.477457283
175	0.4765429145
176	0.4756117004
177	0.475148071
178	0.4743286225
179	0.4735809457
180	0.4727634905
181	0.4722094399
182	0.471474201
183	0.4707581401
184	0.4698653368
185	0.4694022233
186	0.4683864937
187	0.4676597265
188	0.4667693806
189	0.4660093433
190	0.4656242611
191	0.464758274
192	0.4636831157
193	0.4629904716
194	0.4620424206
195	0.4612361935
196	0.4602156809
197	0.4594158061
198	0.45875584
199	0.4575538342
200	0.4565679685
201	0.455869748
202	0.4549380121
203	0.4543744502
204	0.4535472207
205	0.4527076209
206	0.4522162871
207	0.4517098177
208	0.4509683632
209	0.4503124366
210	0.4494176263
211	0.4487818646
212	0.4479999767
213	0.4470357103
214	0.4467491781
215	0.4458949918
216	0.4452819492
217	0.4443349819
218	0.4435798076
219	0.4427986301
220	0.4421712756
221	0.441327225
222	0.4407021863
223	0.4401092236
224	0.439523011
225	0.4388325146
226	0.4382380804
227	0.4373302401
228	0.4367264968
229	0.4365487949
230	0.4359699136
231	0.435442133
232	0.4347659242
233	0.4341274519
234	0.433655004
235	0.4329941722
236	0.4328178529
237	0.4324185115
238	0.4317044469
239	0.4309585769
240	0.4305611448
241	0.4299317764
242	0.4294268059
243	0.4285865641
244	0.4280367171
245	0.4271021798
246	0.4265803108
247	0.4260513538
248	0.4250663021
249	0.4245026522
250	0.4239292037
251	0.4231331583
252	0.4226918992
253	0.4222323562
254	0.4220266997
255	0.4213822162
256	0.4207353631
257	0.4202679953
258	0.4195464185
259	0.4188162342
260	0.4183667156
261	0.4176859895
262	0.4170143624
263	0.4164081949
264	0.4158419801
265	0.4155188643
266	0.4149945994
267	0.4143948164
268	0.4137259702
269	0.4135034241
270	0.412758069
271	0.4124080197
